JTK	kieltomuoto?	verbi kysymysmuodossa	subjekti	verbi	“objekti”	apuverbi	modus	aikamuoto	passiivi	Pre-vp	Post-vp
KOB	FALSE	TRUE	subject	None	None	None	INDV	prees	FALSE	interrogative	None
KOBV	FALSE	FALSE	subject	None	attribute	None	INDV	prees	FALSE	None	None
MYÖ+++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	hyvä on	None
MYÖ++-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kiitos kun kerroit minulle	None
MYÖ+-+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	FEAR	None
MYÖ-++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	TELL	None
MYÖ+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	jep	None
MYÖ-+-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	se tästä vielä puuttuikin	None
MYÖ--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	INSULT	None
MYÖ---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	EVAL	None
KII+++	TRUE	FALSE	subject	project	object	None	INDV	project	FALSE	sinun täytyy olla erehtynyt	None
KII++-	TRUE	FALSE	subject	project	object	voida	INDV	project	FALSE	None	None
KII+-+	FALSE	FALSE	Listener	höpsiä	None	None	IMPV	prees	FALSE	älä	None
KII-++	FALSE	FALSE	Listener	puhua	None	None	IMPV	prees	FALSE	älä	paskaa
KII+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	höpö höpö	None
KII-+-	FALSE	FALSE	None	None	None	None	INDV	project	FALSE	ei muuten pidä paikkaansa	None
KII--+	FALSE	FALSE	Listener	olla	None	None	INDV	prees	FALSE	None	väärässä
KII---	TRUE	FALSE	null	olla	None	None	INDV	prees	FALSE	None	totta
EVA	FALSE	FALSE	None	None	None	None	INDV	prees	FALSE	EVAL	None
JTK	FALSE	TRUE	None	None	None	None	INDV	prees	FALSE	niinkö	None
EST	FALSE	FALSE	None	None	None	None	INDV	prees	FALSE	älä viitsi	None
MYÖB	FALSE	FALSE	None	None	None	None	INDV	prees	FALSE	niinpä	None
YLL+++	FALSE	FALSE	Speaker	kuulla	demonstrative	None	INDV	prees	FALSE	niinkö ? Miksi	vasta nyt
YLL++-	FALSE	TRUE	subject	project	object	None	INDV	perf	FALSE	mitä ?	None
YLL+-+	FALSE	FALSE	None	None	None	None	INDV	prees	FALSE	häh ?	SERIOUS
YLL-++	FALSE	FALSE	subject	project	object	None	INDV	perf	FALSE	täh ? mikset ole kertonut minulle että	?
YLL+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	ihanko totta ?	None
YLL-+-	FALSE	FALSE	subject	project	object	None	INDV	perf	FALSE	en tiennyt että	None
YLL--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	mitä sinä selität ?	None
YLL---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	mitä hittoa	?
VYL+++	FALSE	FALSE	subject	project	object	None	INDV	imperf	FALSE	niin.	viime viikolla
VYL++-	FALSE	FALSE	subject	project	object	None	INDV	perf	FALSE	valitettavasti en ehtinyt ilmoittaa sinulle että	None
VYL+-+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	niinhän minä sanoin	None
VYL-++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kuulit kyllä mitä sanoin	None
VYL+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	näin se valitettavasti on.	None
VYL-+-	FALSE	FALSE	subject	project	object	None	INDV	imperf	FALSE	SORRY	viime viikolla
VYL--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kuulit kyllä	None
VYL---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	niin	None
KYS+++	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	kerrohan onko totta että	None
KYS++-	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	anteeksi, voisitko kertoa	None
KYS+-+	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	kuule	None
KYS-++	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	nyt kerrot minulle	None
KYS+--	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	hei	None
KYS-+-	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	None	vai mitä ihmettä
KYS--+	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	None	häh
KYS---	FALSE	TRUE	subject	project	object	None	INDV	project	FALSE	None	None
VSM+++	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	juuri niin	None
VSM++-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kyllä, asia on juuri näin	None
VSM+-+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	jep, näin on	None
VSM-++	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	etkö tiennyt? Kyllä,	None
VSM+--	FALSE	FALSE	subject	isolated	object	None	INDV	None	FALSE	joo,	None
VSM-+-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	joo. Mistä tiesit?	None
VSM--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kyllä	None
VSM---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	joo	None
VSK+++	TRUE	FALSE	subject	project	object	None	INDV	project	FALSE	ei suinkaan,	None
VSK++-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	ei ainakaan minun tietääkseni	None
VSK+-+	FALSE	FALSE	subject	isolated	object	None	INDV	None	FALSE	WORRY	None
VSK-++	FALSE	FALSE	subject	isolated	object	None	INDV	None	FALSE	no	, mitä oikein kuvittelet ?
VSK+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	ei	LUCK
VSK-+-	FALSE	FALSE	subject	isolated	object	None	INDV	None	FALSE	None	. tai jos on, niin minulle ei ole kerrottu
VSK--+	FALSE	FALSE	subject	isolated	object	None	INDV	None	FALSE	no	None
VSK---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	ei	None
MMU+++	FALSE	FALSE	subject	isolated	object	None	INDV	project	FALSE	nyt	- sehän on aivan selvää
MMU++-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	taidat sittenkin olla oikeassa	None
MMU+-+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	olet oikeassa, kiitos	None
MMU-++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kyllä, kyllä, ei tarvitse jankata	None
MMU+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	niinkös se olikin	None
MMU-+-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	ei hitto, olet oikeassa	None
MMU--+	FALSE	FALSE	subject	isolated	object	None	INDV	project	FALSE	aivan,	None
MMU---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	niin kai sitten	None
MMK+++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	olen iloinen, että arvostat sitä	None
MMK++-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	jep! Olen niin helpottunut, että olet samaa mieltä	None
MMK+-+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	mahtavaa, että ymmärrät	None
MMK-++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	no niin, tajusithan sinä vihdoin	None
MMK+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	hienoa, vai mitä?	None
MMK-+-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	sitähän minä olen yrittänyt sanoa	None
MMK--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	vihdoin ymmärsit	None
MMK---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	niimpä	None
PVT+++	FALSE	FALSE	subject	project	object	None	IMPV	project	FALSE	None	, minulla olisi asiaa
PVT++-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	hei, minulla olisi asiaa, jos viitsit kuunnella	None
PVT+-+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	hei, arvaa mitä	None
PVT-++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kuuntelepa nyt hetki	None
PVT+--	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kuuntelisitko hetken ?	None
PVT-+-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	minulla olisi yksi juttu	None
PVT--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	kuulepas nyt	None
PVT---	FALSE	FALSE	subject	project	object	None	IMPV	project	FALSE	hei,	None
PVK+++	FALSE	FALSE	subject	project	object	None	IMPV	project	FALSE	None	ihmeessä, haluan kuulla tämän
PVK++-	FALSE	FALSE	subject	project	object	None	IMPV	project	FALSE	None	mielelläni
PVK+-+	FALSE	FALSE	subject	project	object	None	IMPV	project	FALSE	None	toki
PVK-++	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	no mitä nyt taas ?	None
PVK+--	FALSE	FALSE	subject	project	object	None	IMPV	project	FALSE	None	vaan
PVK-+-	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	toivottavasti ei mitään pahaa	None
PVK--+	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	no ?	None
PVK---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	mitä ?	None
TPB	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	miksi	None
IND	FALSE	FALSE	subject	project	object	None	INDV	proejct	FALSE	nyt ymmärrän, että	. kaikkien täytyy tietää tästä !
IDK	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	juuri niin	None
